city,city_ascii,state_id,state_name,county_name,lat,lng,population,density,timezone,ranking,id
New York,New York,NY,New York,New York,40.6943,-73.9249,18713220.0,10715,America/New_York,1,1840034016
Los Angeles,Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12750807.0,3276,America/Los_Angeles,1,1840020491
Chicago,Chicago,IL,Illinois,Cook,41.8373,-87.6862,8604203.0,4574,America/Chicago,1,1840000494
Miami,Miami,FL,Florida,Miami-Dade,25.7839,-80.2102,6445545.0,5019,America/New_York,1,1840015149
Dallas,Dallas,TX,Texas,Dallas,32.7936,-96.7662,5743938.0,1526,America/Chicago,1,1840019440
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,5649300.0,4554,America/New_York,1,1840000673
Houston,Houston,TX,Texas,Harris,29.7863,-95.3889,5464251.0,1399,America/Chicago,1,1840020925
Atlanta,Atlanta,GA,Georgia,Fulton,33.7627,-84.4224,5449398.0,1441,America/New_York,1,1840013660
Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,5379184.0,4457,America/New_York,1,1840006060
Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0846,4688346.0,5532,America/New_York,1,1840000455
Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0891,4219697.0,1253,America/Phoenix,1,1840020568
Seattle,Seattle,WA,Washington,King,47.6211,-122.3244,3789215.0,3469,America/Los_Angeles,1,1840021117
San Francisco,San Francisco,CA,California,San Francisco,37.7562,-122.4430,3592294.0,7256,America/Los_Angeles,1,1840021543
Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,3506126.0,1864,America/Detroit,1,1840003971
San Diego,San Diego,CA,California,San Diego,32.8312,-117.1225,3220118.0,1686,America/Los_Angeles,1,1840021990
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,2977172.0,3071,America/Chicago,1,1840007830
Tampa,Tampa,FL,Florida,Hillsborough,27.9942,-82.4451,2908063.0,1353,America/New_York,1,1840015982
Denver,Denver,CO,Colorado,Denver,39.7621,-104.8759,2876625.0,1831,America/Denver,1,1840018789
Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,2559903,14221,America/New_York,1,1840034030
Queens,Queens,NY,New York,Queens,40.7498,-73.7976,2230722,7885,America/New_York,1,1840034002
Riverside,Riverside,CA,California,Riverside,33.9381,-117.3948,2107852.0,1574,America/Los_Angeles,1,1840020551
Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,2106068.0,2830,America/New_York,1,1840001592
Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,2104198.0,1773,America/Los_Angeles,1,1840020364
Portland,Portland,OR,Oregon,Multnomah,45.5372,-122.6500,2074775.0,1894,America/Los_Angeles,1,1840019941
San Antonio,San Antonio,TX,Texas,Bexar,29.4658,-98.5253,2049293.0,1231,America/Chicago,1,1840022220
St. Louis,St. Louis,MO,Missouri,St. Louis,38.6358,-90.2451,2024074.0,1879,America/Chicago,1,1840001651
Sacramento,Sacramento,CA,California,Sacramento,38.5667,-121.4683,1898019.0,2029,America/Los_Angeles,1,1840021491
Orlando,Orlando,FL,Florida,Orange,28.4772,-81.3369,1822394.0,1003,America/New_York,1,1840015099
San Jose,San Jose,CA,California,Santa Clara,37.3019,-121.8486,1798103.0,2218,America/Los_Angeles,1,1840021570
Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4767,-81.6804,1710093.0,1893,America/New_York,1,1840000596
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4396,-79.9762,1703266.0,2093,America/New_York,1,1840001254
Austin,Austin,TX,Texas,Travis,30.3004,-97.7522,1687311.0,1181,America/Chicago,1,1840019590
Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1413,-84.5061,1662691.0,1507,America/New_York,1,1840003814
Kansas City,Kansas City,MO,Missouri,Jackson,39.1239,-94.5541,1636715.0,607,America/Chicago,1,1840008535
Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,1628706,27545,America/New_York,1,1840034000
Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,1588961.0,935,America/Indiana/Indianapolis,1,1840030084
Columbus,Columbus,OH,Ohio,Franklin,39.9862,-82.9850,1562009.0,1582,America/New_York,1,1840003760
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.2080,-80.8304,1512923.0,1113,America/New_York,1,1840014557
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,1478868.0,709,America/New_York,1,1840003871
Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,1418207,12862,America/New_York,1,1840033999
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9673,1365787.0,2369,America/Chicago,1,1840003046
Providence,Providence,RI,Rhode Island,Providence,41.8230,-71.4187,1203230.0,3773,America/New_York,1,1840003289
Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,1181496.0,470,America/New_York,1,1840015031
Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,40.7777,-111.9306,1098526.0,699,America/Denver,1,1840021383
Nashville,Nashville,TN,Tennessee,Davidson,36.1715,-86.7843,1081903.0,544,America/Chicago,1,1840072294
Richmond,Richmond,VA,Virginia,Richmond,37.5295,-77.4756,1075798.0,1484,America/New_York,1,1840001698
Memphis,Memphis,TN,Tennessee,Shelby,35.1046,-89.9773,1066967.0,792,America/Chicago,1,1840015457
Raleigh,Raleigh,NC,North Carolina,Wake,35.8325,-78.6435,1038738.0,1254,America/New_York,1,1840014497
New Orleans,New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,1020886.0,889,America/Chicago,1,1840001839
Louisville,Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,1005654.0,905,America/New_York,1,1840030815
Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,972943.0,417,America/Chicago,2,1840020428
Bridgeport,Bridgeport,CT,Connecticut,Fairfield,41.1918,-73.1953,924449.0,3470,America/New_York,2,1840004836
Buffalo,Buffalo,NY,New York,Erie,42.9016,-78.8487,914341.0,2441,America/New_York,2,1840000386
Fort Worth,Fort Worth,TX,Texas,Tarrant,32.7811,-97.3473,909585,1016,America/Chicago,2,1840020696
Hartford,Hartford,CT,Connecticut,Hartford,41.7661,-72.6834,905152.0,2712,America/New_York,2,1840004773
Tucson,Tucson,AZ,Arizona,Pima,32.1545,-110.8782,888486.0,889,America/Phoenix,2,1840022101
Omaha,Omaha,NE,Nebraska,Douglas,41.2627,-96.0522,847819.0,1309,America/Chicago,2,1840009315
El Paso,El Paso,TX,Texas,El Paso,31.8479,-106.4309,843386.0,1022,America/Denver,2,1840023252
Honolulu,Honolulu,HI,Hawaii,Honolulu,21.3294,-157.8460,820987.0,2200,Pacific/Honolulu,2,1840013305
McAllen,McAllen,TX,Texas,Hidalgo,26.2273,-98.2471,804114.0,841,America/Chicago,2,1840021024
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,35.1053,-106.6464,761195.0,1155,America/Denver,2,1840019176
Birmingham,Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987,739573.0,553,America/Chicago,2,1840006507
Sarasota,Sarasota,FL,Florida,Sarasota,27.3386,-82.5431,722243.0,1528,America/New_York,2,1840015988
Dayton,Dayton,OH,Ohio,Montgomery,39.7797,-84.1998,718353.0,978,America/New_York,2,1840034249
Rochester,Rochester,NY,New York,Monroe,43.1680,-77.6162,703952.0,2220,America/New_York,2,1840000373
Fresno,Fresno,CA,California,Fresno,36.7831,-119.7941,703498.0,1789,America/Los_Angeles,2,1840020319
Allentown,Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,683794.0,2672,America/New_York,2,1840001044
Tulsa,Tulsa,OK,Oklahoma,Tulsa,36.1284,-95.9042,671033.0,784,America/Chicago,2,1840021672
Cape Coral,Cape Coral,FL,Florida,Lee,26.6446,-81.9956,668382.0,708,America/New_York,2,1840015130
Concord,Concord,CA,California,Contra Costa,37.9722,-122.0016,652308.0,1633,America/Los_Angeles,2,1840018905
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7606,642413.0,946,America/Denver,2,1840018825
Charleston,Charleston,SC,South Carolina,Charleston,32.8153,-79.9628,628377.0,480,America/New_York,2,1840015163
Springfield,Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,623401.0,1860,America/New_York,2,1840000466
Grand Rapids,Grand Rapids,MI,Michigan,Kent,42.9620,-85.6562,609314.0,1734,America/Detroit,2,1840002928
Mission Viejo,Mission Viejo,CA,California,Orange,33.6095,-117.6550,590249.0,2058,America/Los_Angeles,2,1840020580
Albany,Albany,NY,New York,Albany,42.6664,-73.7987,586383.0,1740,America/New_York,2,1840000417
Knoxville,Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,586048.0,733,America/New_York,2,1840014486
Bakersfield,Bakersfield,CA,California,Kern,35.3529,-119.0359,579295.0,990,America/Los_Angeles,2,1840019148
Ogden,Ogden,UT,Utah,Weber,41.2278,-111.9682,578523.0,1230,America/Denver,2,1840020135
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,30.4418,-91.1310,570308.0,983,America/Chicago,2,1840013941
Akron,Akron,OH,Ohio,Summit,41.0798,-81.5219,565208.0,1231,America/New_York,2,1840000791
New Haven,New Haven,CT,Connecticut,New Haven,41.3112,-72.9246,564830.0,2690,America/New_York,2,1840004850
Columbia,Columbia,SC,South Carolina,Richland,34.0376,-80.9037,560041.0,373,America/New_York,2,1840014730
Mesa,Mesa,AZ,Arizona,Maricopa,33.4017,-111.7180,518012,1448,America/Phoenix,2,1840020566
Palm Bay,Palm Bay,FL,Florida,Brevard,27.9550,-80.6627,507002.0,456,America/New_York,2,1840015094
Provo,Provo,UT,Utah,Utah,40.2457,-111.6457,500617.0,1080,America/Denver,2,1840020174
Worcester,Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,498328.0,1916,America/New_York,2,1840000434
Murrieta,Murrieta,CA,California,Riverside,33.5720,-117.1909,496046.0,1335,America/Los_Angeles,2,1840020553
Greenville,Greenville,SC,South Carolina,Greenville,34.8353,-82.3647,484465.0,920,America/New_York,2,1840013501
Wichita,Wichita,KS,Kansas,Sedgwick,37.6896,-97.3442,482249.0,931,America/Chicago,2,1840001686
Toledo,Toledo,OH,Ohio,Lucas,41.6639,-83.5822,482111.0,1308,America/New_York,2,1840000572
Staten Island,Staten Island,NY,New York,Richmond,40.5834,-74.1496,476143,3156,America/New_York,2,1840034032
Des Moines,Des Moines,IA,Iowa,Polk,41.5725,-93.6105,473957.0,938,America/Chicago,2,1840007069
Long Beach,Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523,America/Los_Angeles,2,1840020490
Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3883,461152.0,653,America/New_York,2,1840015119
Denton,Denton,TX,Texas,Denton,33.2176,-97.1419,457177.0,567,America/Chicago,2,1840019390
Madison,Madison,WI,Wisconsin,Dane,43.0826,-89.3931,447245.0,1263,America/Chicago,2,1840002915
Reno,Reno,NV,Nevada,Washoe,39.5497,-119.8483,445020.0,907,America/Los_Angeles,2,1840020121
Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,442289.0,2343,America/New_York,2,1840001288
Little Rock,Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3576,439815.0,634,America/Chicago,2,1840015509
Oakland,Oakland,CA,California,Alameda,37.7903,-122.2165,433031,2991,America/Los_Angeles,2,1840020296
Durham,Durham,NC,North Carolina,Durham,35.9794,-78.9031,424700.0,959,America/New_York,2,1840013364
Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.2611,422269.0,721,America/New_York,2,1840015324
Bonita Springs,Bonita Springs,FL,Florida,Lee,26.3559,-81.7861,421291.0,600,America/New_York,2,1840014227
Indio,Indio,CA,California,Riverside,33.7346,-116.2346,417059.0,1066,America/Los_Angeles,2,1840019304
Palm Coast,Palm Coast,FL,Florida,Flagler,29.5392,-81.2460,417007.0,364,America/New_York,2,1840015064
Chattanooga,Chattanooga,TN,Tennessee,Hamilton,35.0657,-85.2488,415501.0,493,America/New_York,2,1840014569
Spokane,Spokane,WA,Washington,Spokane,47.6671,-117.4330,412275.0,1247,America/Los_Angeles,2,1840021093
Syracuse,Syracuse,NY,New York,Onondaga,43.0409,-76.1438,404223.0,2195,America/New_York,2,1840000378
Lancaster,Lancaster,PA,Pennsylvania,Lancaster,40.0421,-76.3012,401524.0,3166,America/New_York,2,1840003718
Arlington,Arlington,TX,Texas,Tarrant,32.6998,-97.1250,398854,1607,America/Chicago,2,1840019422
Stockton,Stockton,CA,California,San Joaquin,37.9765,-121.3109,397264.0,1941,America/Los_Angeles,2,1840021517
Poughkeepsie,Poughkeepsie,NY,New York,Dutchess,41.6949,-73.9210,394760.0,2290,America/New_York,2,1840000500
Augusta,Augusta,GA,Georgia,Richmond,33.3645,-82.0708,390809.0,252,America/New_York,2,1840029462
Boise,Boise,ID,Idaho,Ada,43.6007,-116.2312,389280.0,1056,America/Boise,2,1840027142
Oxnard,Oxnard,CA,California,Ventura,34.1963,-119.1815,387647.0,3040,America/Los_Angeles,2,1840020474
Scranton,Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,384250.0,1169,America/New_York,2,1840003389
Modesto,Modesto,CA,California,Stanislaus,37.6374,-121.0028,383134.0,1933,America/Los_Angeles,2,1840020287
Kissimmee,Kissimmee,FL,Florida,Osceola,28.3042,-81.4164,382720.0,1349,America/New_York,2,1840015109
Aurora,Aurora,CO,Colorado,Adams,39.7087,-104.7273,379289,949,America/Denver,2,1840018794
Youngstown,Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,378732.0,744,America/New_York,2,1840003563
Fayetteville,Fayetteville,AR,Arkansas,Washington,36.0713,-94.1660,351246.0,625,America/Chicago,2,1840013368
Anaheim,Anaheim,CA,California,Orange,33.8390,-117.8572,350365,2688,America/Los_Angeles,2,1840019322
Pensacola,Pensacola,FL,Florida,Escambia,30.4427,-87.1886,346921.0,903,America/Chicago,2,1840015005
Victorville,Victorville,CA,California,San Bernardino,34.5277,-117.3536,346789.0,641,America/Los_Angeles,2,1840021731
Lancaster,Lancaster,CA,California,Los Angeles,34.6935,-118.1753,343304.0,645,America/Los_Angeles,2,1840020516
Greensboro,Greensboro,NC,North Carolina,Guilford,36.0956,-79.8269,343090.0,887,America/New_York,2,1840013356
Corpus Christi,Corpus Christi,TX,Texas,Nueces,27.7260,-97.3755,342464.0,789,America/Chicago,2,1840019718
Fort Wayne,Fort Wayne,IN,Indiana,Allen,41.0886,-85.1437,334122.0,943,America/Indiana/Indianapolis,2,1840008261
Santa Ana,Santa Ana,CA,California,Orange,33.7366,-117.8819,332318,4689,America/Los_Angeles,2,1840021964
Flint,Flint,MI,Michigan,Genesee,43.0235,-83.6922,332190.0,1103,America/Detroit,2,1840002949
San Juan,San Juan,PR,Puerto Rico,San Juan,18.4037,-66.0636,331165,3234,America/Puerto_Rico,2,1630035577
Fayetteville,Fayetteville,NC,North Carolina,Cumberland,35.0846,-78.9776,327435.0,552,America/New_York,2,1840013490
Jackson,Jackson,MS,Mississippi,Hinds,32.3163,-90.2124,325350.0,558,America/Chicago,2,1840014895
Santa Rosa,Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,324634.0,1605,America/Los_Angeles,2,1840021488
Lansing,Lansing,MI,Michigan,Ingham,42.7142,-84.5601,324286.0,1164,America/Detroit,2,1840003102
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,42.2755,-83.7312,322267.0,1659,America/Detroit,2,1840003172
Henderson,Henderson,NV,Nevada,Clark,36.0133,-115.0380,320189,1165,America/Los_Angeles,2,1840020361
Huntsville,Huntsville,AL,Alabama,Madison,34.6988,-86.6412,319249.0,361,America/Chicago,2,1840005061
Lexington,Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,317110.0,439,America/New_York,2,1840015211
Mobile,Mobile,AL,Alabama,Mobile,30.6783,-88.1162,315502.0,522,America/Chicago,2,1840006009
Fort Collins,Fort Collins,CO,Colorado,Larimer,40.5478,-105.0656,312666.0,1149,America/Denver,2,1840020151
Asheville,Asheville,NC,North Carolina,Buncombe,35.5704,-82.5536,312507.0,786,America/New_York,2,1840013411
Santa Clarita,Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,312446.0,1162,America/Los_Angeles,2,1840021864
St. Paul,St. Paul,MN,Minnesota,Ramsey,44.9477,-93.1040,308096,2288,America/Chicago,2,1840008940
Antioch,Antioch,CA,California,Contra Costa,37.9789,-121.7958,302419.0,1466,America/Los_Angeles,2,1840018903
Lakeland,Lakeland,FL,Florida,Polk,28.0556,-81.9545,302284.0,654,America/New_York,2,1840015108
Trenton,Trenton,NJ,New Jersey,Mercer,40.2236,-74.7641,290716.0,4238,America/New_York,2,1840001383
Lincoln,Lincoln,NE,Nebraska,Lancaster,40.8090,-96.6788,289490.0,1160,America/Chicago,2,1840009357
Springfield,Springfield,MO,Missouri,Greene,37.1943,-93.2916,288090.0,786,America/Chicago,2,1840009904
Plano,Plano,TX,Texas,Collin,33.0502,-96.7487,287677,1549,America/Chicago,2,1840020662
Irvine,Irvine,CA,California,Orange,33.6772,-117.7738,287401,1691,America/Los_Angeles,2,1840019325
Davenport,Davenport,IA,Iowa,Scott,41.5563,-90.6052,285362.0,617,America/Chicago,2,1840007081
Rockford,Rockford,IL,Illinois,Winnebago,42.2597,-89.0641,282762.0,873,America/Chicago,2,1840009132
Newark,Newark,NJ,New Jersey,Essex,40.7245,-74.1725,282011,4509,America/New_York,2,1840002791
South Bend,South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,280498.0,938,America/Indiana/Indianapolis,2,1840009241
Shreveport,Shreveport,LA,Louisiana,Caddo,32.4656,-93.7956,280062.0,672,America/Chicago,2,1840015768
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,42.3790,-88.0811,279381.0,2073,America/Chicago,2,1840011171
Savannah,Savannah,GA,Georgia,Chatham,32.0281,-81.1784,276295.0,536,America/New_York,2,1840015830
Myrtle Beach,Myrtle Beach,SC,South Carolina,Horry,33.7096,-78.8843,275579.0,568,America/New_York,2,1840014717
Chula Vista,Chula Vista,CA,California,San Diego,32.6281,-117.0145,274492,2134,America/Los_Angeles,2,1840019350
Eugene,Eugene,OR,Oregon,Lane,44.0563,-123.1173,273439.0,1510,America/Los_Angeles,2,1840020007
Canton,Canton,OH,Ohio,Stark,40.8075,-81.3677,269418.0,1040,America/New_York,2,1840000963
Lubbock,Lubbock,TX,Texas,Lubbock,33.5659,-101.8878,267648.0,741,America/Chicago,2,1840020604
Reading,Reading,PA,Pennsylvania,Berks,40.3400,-75.9267,267155.0,3466,America/New_York,2,1840001185
Winter Haven,Winter Haven,FL,Florida,Polk,28.0118,-81.7017,267069.0,538,America/New_York,2,1840015970
Salem,Salem,OR,Oregon,Marion,44.9231,-123.0246,266804.0,1382,America/Los_Angeles,2,1840021224
St. Petersburg,St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,265351,1656,America/New_York,2,1840015977
Lafayette,Lafayette,LA,Louisiana,Lafayette,30.2084,-92.0323,264357.0,877,America/Chicago,2,1840015044
Laredo,Laredo,TX,Texas,Webb,27.5629,-99.4875,262079.0,958,America/Chicago,2,1840021002
Jersey City,Jersey City,NJ,New Jersey,Hudson,40.7161,-74.0682,262075,6863,America/New_York,2,1840003600
Concord,Concord,NC,North Carolina,Cabarrus,35.3933,-80.6366,261801.0,585,America/New_York,2,1840014559
Columbus,Columbus,GA,Georgia,Muscogee,32.5100,-84.8771,261445.0,349,America/New_York,2,1840014887
Chandler,Chandler,AZ,Arizona,Maricopa,33.2826,-111.8516,261165,1548,America/Phoenix,2,1840019309
McKinney,McKinney,TX,Texas,Collin,33.2015,-96.6669,258277.0,1148,America/Chicago,2,1840020657
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,258069,541,America/Phoenix,2,1840021940
Killeen,Killeen,TX,Texas,Bell,31.0754,-97.7296,258009.0,1073,America/Chicago,2,1840020854
Tallahassee,Tallahassee,FL,Florida,Leon,30.4551,-84.2526,257601.0,747,America/New_York,2,1840015913
Peoria,Peoria,IL,Illinois,Peoria,40.7520,-89.6153,256286.0,888,America/Chicago,2,1840009373
Wilmington,Wilmington,NC,North Carolina,New Hanover,34.2100,-77.8866,255616.0,929,America/New_York,2,1840015576
Montgomery,Montgomery,AL,Alabama,Montgomery,32.3473,-86.2666,254634.0,479,America/Chicago,2,1840008353
Gilbert,Gilbert,AZ,Arizona,Maricopa,33.3101,-111.7463,254114,1432,America/Phoenix,2,1840021947
Glendale,Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,252381,1582,America/Phoenix,2,1840020563
North Las Vegas,North Las Vegas,NV,Nevada,Clark,36.2880,-115.0901,251974,992,America/Los_Angeles,2,1840020363
Anchorage,Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,247949.0,65,America/Anchorage,2,1840023385
Chesapeake,Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3024,244835,279,America/New_York,2,1840003874
Barnstable Town,Barnstable Town,MA,Massachusetts,Barnstable,41.6722,-70.3599,242847.0,286,America/New_York,2,1840053497
Norfolk,Norfolk,VA,Virginia,Norfolk,36.8945,-76.2590,242742,1759,America/New_York,2,1840003869
Fremont,Fremont,CA,California,Alameda,37.5265,-121.9852,241110,1201,America/Los_Angeles,2,1840020292
Kennewick,Kennewick,WA,Washington,Benton,46.1978,-119.1732,240735.0,1186,America/Los_Angeles,2,1840018481
Garland,Garland,TX,Texas,Dallas,32.9100,-96.6305,239928,1623,America/Chicago,2,1840020707
Irving,Irving,TX,Texas,Dallas,32.8584,-96.9702,239798,1380,America/Chicago,2,1840019438
Visalia,Visalia,CA,California,Tulare,36.3276,-119.3269,237386.0,1370,America/Los_Angeles,2,1840021639
Atlantic City,Atlantic City,NJ,New Jersey,Atlantic,39.3797,-74.4527,237054.0,1354,America/New_York,2,1840003798
Nashua,Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.4910,233917.0,1118,America/New_York,2,1840002984
Paradise,Paradise,NV,Nevada,Clark,36.0807,-115.1369,233689,1930,America/Los_Angeles,2,1840033743
Hialeah,Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3046,233339,4174,America/New_York,2,1840015157
York,York,PA,Pennsylvania,York,39.9651,-76.7315,233184.0,3204,America/New_York,2,1840001472
Arlington,Arlington,VA,Virginia,Arlington,38.8786,-77.1011,231803,3442,America/New_York,2,1840006112
Evansville,Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,230427.0,962,America/Chicago,2,1840013730
Avondale,Avondale,AZ,Arizona,Maricopa,33.3858,-112.3236,227289.0,750,America/Phoenix,2,1840019310
Brownsville,Brownsville,TX,Texas,Cameron,25.9980,-97.4565,227239.0,533,America/Matamoros,2,1840019743
Gulfport,Gulfport,MS,Mississippi,Harrison,30.4271,-89.0703,220987.0,497,America/Chicago,2,1840013947
Appleton,Appleton,WI,Wisconsin,Outagamie,44.2779,-88.3891,220570.0,1156,America/Chicago,2,1840002400
Bremerton,Bremerton,WA,Washington,Kitsap,47.5436,-122.7122,218400.0,561,America/Los_Angeles,2,1840018410
Hickory,Hickory,NC,North Carolina,Catawba,35.7425,-81.3230,218323.0,536,America/New_York,2,1840014524
Tacoma,Tacoma,WA,Washington,Pierce,47.2431,-122.4531,217827,1690,America/Los_Angeles,2,1840021129
San Bernardino,San Bernardino,CA,California,San Bernardino,34.1417,-117.2946,215784,1341,America/Los_Angeles,2,1840021728
College Station,College Station,TX,Texas,Brazos,30.5852,-96.2960,215243.0,890,America/Chicago,2,1840019570
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,215193.0,1192,America/Detroit,2,1840003185
Thousand Oaks,Thousand Oaks,CA,California,Ventura,34.1914,-118.8755,215029.0,885,America/Los_Angeles,2,1840021844
Roanoke,Roanoke,VA,Virginia,Roanoke,37.2785,-79.9580,214674.0,900,America/New_York,2,1840003858
Fontana,Fontana,CA,California,San Bernardino,34.0968,-117.4599,214547,1923,America/Los_Angeles,2,1840020402
Moreno Valley,Moreno Valley,CA,California,Riverside,33.9244,-117.2045,213055,1604,America/Los_Angeles,2,1840020552
North Port,North Port,FL,Florida,Sarasota,27.0577,-82.1975,209070.0,274,America/New_York,2,1840015120
Fargo,Fargo,ND,North Dakota,Cass,46.8652,-96.8292,208675.0,967,America/Chicago,2,1840000177
Green Bay,Green Bay,WI,Wisconsin,Brown,44.5150,-87.9896,207557.0,887,America/Chicago,2,1840002344
Amarillo,Amarillo,TX,Texas,Potter,35.1988,-101.8311,205603.0,756,America/Chicago,2,1840019156
Portland,Portland,ME,Maine,Cumberland,43.6773,-70.2715,203969.0,1185,America/New_York,2,1840000327
Santa Barbara,Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,202401.0,1808,America/Los_Angeles,2,1840021829
Gainesville,Gainesville,FL,Florida,Alachua,29.6804,-82.3458,202335.0,820,America/New_York,2,1840014022
Olympia,Olympia,WA,Washington,Thurston,47.0417,-122.8959,200915.0,1119,America/Los_Angeles,2,1840019865
Frisco,Frisco,TX,Texas,Collin,33.1555,-96.8215,200490,1136,America/Chicago,2,1840020654
Yonkers,Yonkers,NY,New York,Westchester,40.9466,-73.8674,200370,4295,America/New_York,2,1840003478
Norwich,Norwich,CT,Connecticut,New London,41.5495,-72.0882,200289.0,533,America/New_York,2,1840004828
Spring Valley,Spring Valley,NV,Nevada,Clark,36.0987,-115.2619,199722,2318,America/Los_Angeles,2,1840033832
Glendale,Glendale,CA,California,Los Angeles,34.1818,-118.2468,199303,2525,America/Los_Angeles,2,1840020483
Huntington Beach,Huntington Beach,CA,California,Orange,33.6960,-118.0025,199223,2848,America/Los_Angeles,2,1840020578
Deltona,Deltona,FL,Florida,Volusia,28.9050,-81.2137,198361.0,960,America/New_York,2,1840015072
Aurora,Aurora,IL,Illinois,Kane,41.7637,-88.2901,197757,1696,America/Chicago,2,1840007034
Tempe,Tempe,AZ,Arizona,Maricopa,33.3881,-111.9318,195805,1891,America/Phoenix,2,1840021942
Overland Park,Overland Park,KS,Kansas,Johnson,38.8870,-94.6870,195494,1003,America/Chicago,2,1840003834
Grand Prairie,Grand Prairie,TX,Texas,Dallas,32.6872,-97.0209,194543,1039,America/Chicago,2,1840020709
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,36.1785,-115.0490,192934,2231,America/Los_Angeles,2,1840033833
Waco,Waco,TX,Texas,McLennan,31.5598,-97.1881,192315.0,605,America/Chicago,2,1840022140
Salinas,Salinas,CA,California,Monterey,36.6884,-121.6317,190972.0,2562,America/Los_Angeles,2,1840021632
Waterbury,Waterbury,CT,Connecticut,New Haven,41.5583,-73.0361,189614.0,1456,America/New_York,2,1840004851
Clarksville,Clarksville,TN,Tennessee,Montgomery,36.5695,-87.3420,188746.0,618,America/Chicago,2,1840014421
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,41.9665,-91.6782,188038.0,720,America/Chicago,2,1840000471
Sioux Falls,Sioux Falls,SD,South Dakota,Minnehaha,43.5397,-96.7320,187239.0,907,America/Chicago,2,1840002648
Huntington,Huntington,WV,West Virginia,Cabell,38.4109,-82.4344,186034.0,1073,America/New_York,2,1840006211
Ontario,Ontario,CA,California,San Bernardino,34.0393,-117.6064,185010,1429,America/Los_Angeles,2,1840020410
Hagerstown,Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,184755.0,1272,America/New_York,2,1840005613
